"contexto","competencia","grupo_edad","premio_total","fraccion_primer_puesto","fraccion_segundo_puesto","valor_tercer_puesto","monto_primer_puesto","monto_segundo_puesto","monto_tercer_puesto","opciones","opciones_mezcladas","respuesta_correcta","termino_dinero","paleta_seleccionada","simulacion","hash"
"provincia","torneo deportivo","categoría infantil",30,"1/2","2/5",0.1,15,12,3,3,2,3,"recompensa","#4285F4",1,"3fd4d5de773101f5cb9c88d3615efdb7"
"pueblo","evento deportivo","estudiantes de primaria y secundaria",100,"1/3","1/2",0.166666666666667,33,50,17,17,20,17,"dinero","#1F77B4",2,"e4c09c9eedd7f82ee6f078837a57f3f4"
"pueblo","prueba atlética","categoría infantil",60,"1/2","1/3",0.166666666666667,30,20,10,10,10,10,"premio","#4285F4",3,"8d011cb0971caec0f76e4752e064ec92"
"región","competencia atlética","menores de 14 años",90,"3/5","1/3",0.0666666666666667,54,30,6,6,18,6,"premio","#7F3C8D",4,"2babd04ba078309dfcc95e54170ed6c0"
"municipio","concurso deportivo","niños y adolescentes",120,"3/5","3/10",0.1,72,36,12,12,12,12,"incentivo","#1F77B4",5,"f29f39ed468cb1c267f44aa3faacf6f9"
"pueblo","prueba atlética","categoría juvenil",60,"1/3","1/2",0.166666666666667,20,30,10,10,12,10,"premio","#4285F4",6,"e6f1b77363b4cb841c583a6b042ced30"
"zona","competencia atlética","categoría infantil",40,"3/5","1/4",0.15,24,10,6,6,8,6,"recompensa","#003f5c",7,"84335329fe84730f360412f0cbd1e44c"
"comunidad","justa deportiva","menores de 16 años",90,"3/4","1/8",0.125,68,11,11,11,18,11,"recompensa","#0073C2",8,"2a0a396748a7fcca02be90e234dd9f9c"
"pueblo","evento deportivo","categoría juvenil",50,"1/2","1/3",0.166666666666667,25,17,8,8,10,8,"premio","#4285F4",9,"39250bcf4ca12e7497000deb0539af69"
"provincia","prueba atlética","categoría infantil",100,"3/4","1/8",0.125,75,12,13,13,13,13,"recompensa","#1F77B4",10,"2fb3c710174c9ebe6a16fde9ddcb463e"
"zona","carrera","categoría juvenil",120,"2/5","1/2",0.1,48,60,12,12,24,12,"monto","#003f5c",11,"a6f43a46ee79b3a668d8f4e07c26ea9f"
"municipio","prueba atlética","categoría infantil",70,"1/3","1/2",0.166666666666667,23,35,12,12,21,12,"monto","#7F3C8D",12,"386bbe9c9f3a20457ffa54c9dcea3311"
"región","competencia atlética","jóvenes de 12 a 15 años",150,"3/5","3/10",0.1,90,45,15,15,30,15,"dinero","#7F3C8D",13,"641447a66bcf6b88b1ce9ad67d9228c5"
"provincia","concurso deportivo","niños y niñas de 10 a 15 años",60,"2/5","1/2",0.1,24,30,6,6,12,6,"monto","#003f5c",14,"4ffd02a2cd06237bae4949a0d730a60a"
